qubits,depth,cpu,gpu,exit_cpu,exit_gpu
10,10,0.0255124832,0.30931879539999996,0,0
10,30,0.0356880662,0.3063878272,0,0
10,50,0.0454330183,0.3182225373,0,0
10,70,0.05881384399999999,0.3269437675,0,0
10,100,0.07138704709999999,0.33220732199999997,0,0
20,10,3.6876567188000005,0.37422507580000003,0,0
20,30,10.6275499989,0.39357399340000004,0,0
20,50,18.0820690904,0.4106932727000001,0,0
20,70,24.9943334545,0.42489279370000005,0,0
20,100,35.9241661741,0.44948650249999994,0,0
30,10,0.0006830319999999999,0.7323918391,999,0
30,30,0.0006788720999999999,1.5029210539000002,999,0
30,50,0.0006692461999999999,2.2350581471,999,0
30,70,0.0006890611000000002,3.0180189062,999,0
30,100,0.0006905014,4.235381567899999,999,0
